City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
180,Ayorou,NE,2021-09-22 20:45:29,14.7308,0.9174,93.36,36,18,12.86
181,Hualmay,PE,2021-09-22 20:45:29,-11.0964,-77.6139,64.71,78,97,12.33
182,Praia Da Vitoria,PT,2021-09-22 20:45:30,38.7333,-27.0667,71.76,88,40,12.3
183,Presidencia Roque Saenz Pena,AR,2021-09-22 20:45:30,-26.7852,-60.4388,75.52,43,96,7.38
184,Kysyl-Syr,RU,2021-09-22 20:45:31,63.8986,122.7617,40.33,95,100,8.57
185,Nuevo Progreso,MX,2021-09-22 20:45:32,23.1667,-97.95,85.46,65,95,8.99
186,Kaspi,GE,2021-09-22 20:45:32,41.9252,44.4257,59.92,91,100,9.42
187,Hokitika,NZ,2021-09-22 20:45:32,-42.7167,170.9667,54.91,90,100,6.89
188,Starodub,RU,2021-09-22 20:45:33,52.5844,32.7633,41.67,95,100,5.3
189,Palauig,PH,2021-09-22 20:45:33,15.435,119.9045,80.28,77,100,4.05
190,Marrakesh,MA,2021-09-22 20:43:39,31.6315,-8.0083,77.07,47,75,10.36
191,Woodward,US,2021-09-22 20:45:34,36.4337,-99.3904,84.96,22,1,3.44
192,Portland,US,2021-09-22 20:45:07,45.5234,-122.6762,72.57,64,75,1.01
193,Saint George,US,2021-09-22 20:45:34,37.1041,-113.5841,99.07,13,1,1.01
194,Cidreira,BR,2021-09-22 20:45:35,-30.1811,-50.2056,62.29,70,11,15.35
195,Kavieng,PG,2021-09-22 20:45:35,-2.5744,150.7967,80.49,80,100,13.29
196,Alamosa,US,2021-09-22 20:45:36,37.4695,-105.87,72.36,16,1,3.44
197,Rancho Palos Verdes,US,2021-09-22 20:45:36,33.7445,-118.387,104.52,57,1,16.26
198,Pahrump,US,2021-09-22 20:45:36,36.2083,-115.9839,95.45,12,0,4.0
199,Mendeleyevsk,RU,2021-09-22 20:45:37,55.9082,52.2905,49.24,66,100,8.19
200,Ilinskiy,RU,2021-09-22 20:45:37,55.619,38.1182,46.11,93,90,4.47
201,Korhogo,CI,2021-09-22 20:45:37,9.45,-5.6333,73.74,86,18,4.56
202,Saint-Philippe,RE,2021-09-22 20:45:38,-21.3585,55.7679,67.55,83,41,11.1
203,Pizarro,CO,2021-09-22 20:45:38,4.9533,-77.366,76.55,93,100,10.98
204,Mogadishu,SO,2021-09-22 20:41:01,2.0371,45.3438,77.47,88,18,18.66
205,Touros,BR,2021-09-22 20:44:53,-5.1989,-35.4608,83.3,81,40,9.22
206,East London,ZA,2021-09-22 20:45:39,-33.0153,27.9116,62.29,76,0,19.15
207,Bose,IT,2021-09-22 20:45:40,45.4612,8.0137,65.21,86,97,3.8
208,Kaiyuan,CN,2021-09-22 20:45:41,23.6977,103.3037,62.2,95,0,2.53
209,Colquechaca,BO,2021-09-22 20:45:41,-18.6667,-66.0167,38.08,56,100,5.5
210,Chumikan,RU,2021-09-22 20:45:41,54.7183,135.315,41.25,64,0,6.49
211,La Paz,BO,2021-09-22 20:45:07,-16.5,-68.15,57.18,47,75,11.5
212,Parabel,RU,2021-09-22 20:45:42,58.6978,81.4825,32.36,89,97,5.23
213,Lovington,US,2021-09-22 20:45:43,32.944,-103.3485,79.32,24,0,4.0
214,Estelle,US,2021-09-22 20:45:43,29.8458,-90.1067,82.0,52,75,9.22
215,Petropavlovsk-Kamchatskiy,RU,2021-09-22 20:41:48,53.0452,158.6483,32.59,100,0,6.71
216,Rorvik,NO,2021-09-22 20:45:44,64.8621,11.2373,50.11,100,75,12.66
217,Piojo,CO,2021-09-22 20:45:44,10.7485,-75.1078,73.96,76,100,6.96
218,Nador,MA,2021-09-22 20:45:44,35.174,-2.9287,73.47,88,75,6.91
219,Caravelas,BR,2021-09-22 20:41:40,-17.7125,-39.2481,73.13,66,99,16.67
220,Gairo,IT,2021-09-22 20:45:45,39.8497,9.5047,65.41,88,44,1.12
221,Tahta,EG,2021-09-22 20:45:45,26.7693,31.5021,88.12,26,0,9.4
222,Beloha,MG,2021-09-22 20:45:46,-25.1667,45.05,67.82,78,100,8.99
223,Laguna,US,2021-09-22 20:45:46,38.421,-121.4238,98.65,26,1,3.0
224,Sobolevo,RU,2021-09-22 20:45:47,54.4299,31.8996,38.25,95,100,3.27
225,Kapuskasing,CA,2021-09-22 20:45:47,49.4169,-82.4331,51.89,54,75,3.44
226,Otane,NZ,2021-09-22 20:45:47,-39.8833,176.6333,59.02,91,100,13.58
227,Whitianga,NZ,2021-09-22 20:45:48,-36.8333,175.7,57.02,94,100,15.82
228,Takoradi,GH,2021-09-22 20:45:48,4.8845,-1.7554,76.93,89,100,2.01
229,Cambridge,CA,2021-09-22 20:43:14,43.3601,-80.3127,58.39,96,90,1.99
230,Homer,US,2021-09-22 20:45:49,59.6425,-151.5483,46.78,46,1,10.36
231,Broken Hill,AU,2021-09-22 20:45:49,-31.95,141.4333,46.11,71,0,0.0
232,Coihaique,CL,2021-09-22 20:45:49,-45.5752,-72.0662,56.01,92,99,8.63
233,Waipawa,NZ,2021-09-22 20:41:27,-41.4122,175.5153,60.03,80,100,8.12
234,Avarua,CK,2021-09-22 20:45:50,-21.2078,-159.775,75.25,73,40,6.91
235,Taoudenni,ML,2021-09-22 20:40:58,22.6783,-3.9836,99.75,7,2,6.89
236,Barra Do Garcas,BR,2021-09-22 20:45:51,-15.89,-52.2567,106.38,18,20,5.75
237,Tabas,IR,2021-09-22 20:45:51,33.5959,56.9244,81.97,13,1,3.13
238,Lolodorf,CM,2021-09-22 20:45:51,3.2333,10.7333,70.61,100,100,1.68
239,Conceicao Da Barra,BR,2021-09-22 20:45:52,-18.5933,-39.7322,71.64,62,16,15.23
240,Kalmunai,LK,2021-09-22 20:45:52,7.4167,81.8167,79.56,83,99,5.91
241,La Palma,US,2021-09-22 20:45:53,33.8464,-118.0467,107.11,35,1,5.01
242,San Patricio,US,2021-09-22 20:45:53,28.017,-97.5169,88.21,21,31,13.87
243,Marsh Harbour,BS,2021-09-22 20:45:54,26.5412,-77.0636,83.14,70,64,3.02
244,Penzance,GB,2021-09-22 20:45:54,50.1186,-5.5371,60.01,83,26,6.78
245,Airai,TL,2021-09-22 20:45:54,-8.9266,125.4092,57.11,50,63,3.38
246,Torbay,CA,2021-09-22 20:40:55,47.6666,-52.7314,71.76,49,90,20.71
247,Lompoc,US,2021-09-22 20:41:47,34.6391,-120.4579,92.01,75,1,8.99
248,Kampil,IN,2021-09-22 20:45:55,27.6167,79.2833,78.51,86,17,5.79
249,Esso,RU,2021-09-22 20:45:55,55.9333,158.7,40.12,96,98,2.08
250,Acara,BR,2021-09-22 20:45:56,-1.9608,-48.1967,82.4,72,99,4.12
251,Gayeri,BF,2021-09-22 20:45:56,12.6497,0.4931,79.09,74,86,11.88
252,Zyuzelskiy,RU,2021-09-22 20:45:57,56.4856,60.1331,40.84,86,67,1.45
253,Kiama,AU,2021-09-22 20:45:57,-34.6833,150.8667,56.25,67,1,5.61
254,Kodiak,US,2021-09-22 20:45:57,57.79,-152.4072,45.77,61,100,12.08
255,Noumea,NC,2021-09-22 20:45:58,-22.2763,166.4572,66.18,73,86,9.75
256,Krasnoarmeysk,RU,2021-09-22 20:45:58,51.0239,45.6969,52.29,79,95,7.18
257,Atikokan,CA,2021-09-22 20:42:17,48.7555,-91.6216,65.91,40,1,8.3
258,Ambon,ID,2021-09-22 20:45:59,-3.6954,128.1814,75.34,94,75,3.44
