City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
440,Ouesso,CG,72.25,light rain,1.6136,16.0517,ABENIE Hotel
441,Houma,US,73.99,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
445,Meulaboh,ID,75.36,moderate rain,4.1363,96.1285,Kost Pria
446,Pativilca,PE,67.24,broken clouds,-10.7,-77.7833,HOSTAL PATIVILCA
452,Touros,BR,83.3,few clouds,-5.1989,-35.4608,INN NEW HORIZON
455,Nara,JP,74.91,few clouds,34.6851,135.8049,Guesthouse Nara Komachi
458,Vila Velha,BR,80.94,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
460,Dingle,PH,75.87,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
463,Tevaitoa,PF,79.27,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
469,Mecca,SA,81.73,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
474,Sioux Lookout,CA,77.38,few clouds,50.1001,-91.917,Knobby's Fly-In Camps
477,Naze,JP,77.32,scattered clouds,28.3667,129.4833,オーベルジュ・アガルイ
478,Guadalupe Y Calvo,MX,66.34,clear sky,26.1,-106.9667,Hotel Pizarro
481,Kalaleh,IR,68.47,scattered clouds,37.3807,55.4916,عطر و ادکلن پارسیس
483,Benghazi,LY,77.72,clear sky,32.1167,20.0667,Tibesti Hotel
489,Lithakia,GR,73.58,scattered clouds,37.7167,20.8333,Zante Plaza Hotel & Apartments
490,Gorontalo,ID,74.82,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
496,Necochea,AR,68.04,clear sky,-38.5473,-58.7368,dyd -mar Hotel
497,Marawi,PH,68.65,overcast clouds,7.9986,124.2928,Derogongan Residence
501,Tecoanapa,MX,84.79,scattered clouds,16.5167,-98.75,Hotel Manglares
502,Huercal-Overa,ES,73.24,scattered clouds,37.389,-1.9454,Hotel Overa S L
503,Waddan,LY,78.06,clear sky,29.1614,16.139,محل الشريف محمد العايب
504,Salamiyah,SY,68.11,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
505,Tukrah,LY,76.17,clear sky,32.5341,20.5791,Lagrota restaurant
510,Abnub,EG,79.02,clear sky,27.2696,31.1511,Romany Adly Gad
513,Bandarbeyla,SO,81.19,overcast clouds,9.4942,50.8122,JABIR HOTEL
515,Lorengau,PG,80.01,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
516,Bacabal,BR,83.41,overcast clouds,-4.2917,-44.7917,Rancho Sol Nascente
520,Teknaf,BD,77.2,overcast clouds,20.8624,92.3058,Forestry Guesthouse
525,Puerto Leguizamo,CO,78.73,light rain,-0.1934,-74.7819,la casona de juancho
531,Lakatoro,VU,77.92,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
532,Wuning,CN,72.55,light rain,29.2589,120.2311,Fu Du Hotel
533,Arroio Dos Ratos,BR,70.09,scattered clouds,-30.0772,-51.7292,Hotel do Sul
534,Grand-Lahou,CI,76.41,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
538,Samarai,PG,78.57,broken clouds,-10.6167,150.6667,Nuli Sapi
540,Sao Felix Do Xingu,BR,81.32,light rain,-6.6447,-51.995,Rio Xingu Camping
541,Neka,IR,67.51,few clouds,36.6508,53.299,اپارتمان قومش
549,Elizabeth City,US,79.0,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
551,Qui Nhon,VN,77.65,clear sky,13.7667,109.2333,Hoang Yen Canary Hotel
552,Zhangzhou,CN,82.15,clear sky,24.5133,117.6556,Borrman Hotel Zhangzhou Bus Station Branch
554,Plumbon,ID,77.11,broken clouds,-6.705,108.4728,TAMAN NUANSA DEPOK I
556,Santa Rosa,PH,83.91,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
559,Eyl,SO,79.97,few clouds,7.9803,49.8164,Amiin Hotel
560,Thrissur,IN,75.18,broken clouds,10.5167,76.2167,Joys Palace
564,Saint-Pierre,RE,71.24,clear sky,-21.3393,55.4781,Lindsey Hôtel
565,Hazaribag,IN,70.72,moderate rain,23.9833,85.35,Capital O 46318 Sri Vinayak Deluxe
568,Okrika,NG,77.59,overcast clouds,4.7416,7.0849,ayo mutiaru f
571,Sucua,EC,75.94,moderate rain,-2.4667,-78.1667,Hotel Orellana
576,Leshan,CN,70.9,scattered clouds,29.5623,103.7639,Leshan Haiyun International Youth Hostel
577,Westport,US,70.38,clear sky,41.1415,-73.3579,The Westport Inn
579,Pochutla,MX,83.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
580,Basco,PH,82.67,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
583,Kashi,CN,70.81,clear sky,39.4547,75.9797,帕米尔青年旅舍
585,Pangkalanbuun,ID,75.22,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
590,Srivardhan,IN,77.52,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
593,Dhidhdhoo,MV,81.41,scattered clouds,6.8833,73.1,Dhidhoo beach
595,Isiro,CD,68.25,light rain,2.7739,27.616,Guest House Hewa Bora
599,Mahuva,IN,79.03,light rain,21.0914,71.7622,Hotel Blue Diamond.
601,Kamaishi,JP,67.82,broken clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
602,U Thong,TH,78.21,light rain,14.3751,99.8923,คงทองทิพย์รีสอร์ท
607,Piacabucu,BR,77.0,few clouds,-10.4056,-36.4344,Piaçabuçu News
608,Kontagora,NG,74.73,light rain,10.3999,5.4695,Queens Guest Inn
610,Cam Ranh,VN,78.76,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
611,Springdale,US,84.25,few clouds,36.1867,-94.1288,Springdale Inn
615,Fare,PF,79.18,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
616,Chanika,TZ,68.94,overcast clouds,-5.4167,38.0167,New Rombo Green Hotel
620,Kindu,CD,68.43,light rain,-2.95,25.95,Résidence Okanda
621,Mongu,ZM,76.46,few clouds,-15.2484,23.1274,Country Lodge Mongu
625,Hajiganj,BD,75.47,overcast clouds,23.2511,90.8592,Hotel Kohinoor
626,Oneida,US,65.93,overcast clouds,43.2001,-75.4663,Wingate By Wyndham Rome
629,Kawalu,ID,70.03,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
631,Los Llanos De Aridane,ES,69.55,broken clouds,28.6585,-17.9182,Valle Aridane
632,Namatanai,PG,79.56,light rain,-3.6667,152.4333,Seagulls Inn Namatani
634,Mattru,SL,74.66,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
635,Tandur,IN,72.99,overcast clouds,17.2333,77.5833,SPOT ON 63149 Swagath Residency
636,Cap Malheureux,MU,72.09,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
641,Hambantota,LK,80.98,overcast clouds,6.1241,81.1185,Bungalow 63
642,Gat,IL,74.8,clear sky,31.61,34.7642,OlusHome
643,Conakry,GN,80.67,light rain,9.538,-13.6773,Riviera Royal Hotel
644,Bima,ID,73.71,scattered clouds,-8.4667,118.7167,Lambitu Hotel
651,George Town,MY,77.9,few clouds,5.4112,100.3354,Cititel Penang
653,Hun,LY,79.2,clear sky,29.1268,15.9477,Alrwasi Hotel
654,Inyonga,TZ,78.46,overcast clouds,-6.7167,32.0667,Eden Rock Lodge
655,Yangjiang,CN,78.46,light rain,21.85,111.9667,HUALUXE Yangjiang City Center
662,Kwekwe,ZW,74.39,few clouds,-18.9281,29.8149,"Golden Mile Hotel, Kwekwe"
663,Kununurra,AU,75.18,broken clouds,-15.7667,128.7333,Hotel Kununurra
667,Roma,US,65.86,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
668,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
670,Venosa,IT,65.59,few clouds,40.9613,15.8149,Gesualdo da Venosa
671,Phan Thiet,VN,77.23,moderate rain,10.9333,108.1,Hotel Saigon-PT
675,Gigmoto,PH,80.33,broken clouds,13.7796,124.39,Cj's Travellers Inn
676,Nicoya,CR,78.35,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
681,Fez,MA,79.05,clear sky,34.0372,-4.9998,Hotel Mounia Fès
685,Loveland,US,72.79,few clouds,40.3978,-105.075,La Quinta Inn & Suites by Wyndham Loveland
686,Sinnamary,GF,84.52,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
688,New Milford,US,71.2,scattered clouds,40.9327,-74.0179,Courtyard by Marriott Paramus
689,Koroni,GR,72.07,broken clouds,36.8,21.95,Apartments Xenios Zeus 1
690,Along,IN,70.97,scattered clouds,28.1667,94.7667,Hotel West
691,Wewak,PG,79.12,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
693,Maldonado,UY,65.59,clear sky,-34.6667,-54.9167,La Cimarrona
695,Ohara,JP,71.01,overcast clouds,35.25,140.3833,Sakigake
698,Shache,CN,69.48,clear sky,38.4167,77.2406,Delong Hotel
