City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
294,Rumoi,JP,43.9344,141.6428,60.19,91,100,16.67,light rain
295,Constitucion,CL,-35.3333,-72.4167,56.84,55,3,6.29,clear sky
296,Belmonte,BR,-15.8631,-38.8828,79.3,72,0,8.68,clear sky
297,Almaznyy,RU,48.0448,40.045,42.94,57,7,6.98,clear sky
298,Kondoa,TZ,-4.9,35.7833,65.64,61,12,6.33,few clouds
299,Erzin,TR,36.9559,36.2,74.12,86,49,1.7,scattered clouds
300,Quatre Cocos,MU,-20.2078,57.7625,71.71,78,76,14.36,broken clouds
301,Haines Junction,CA,60.7522,-137.5108,31.95,74,98,1.14,overcast clouds
302,Chicama,PE,-7.8447,-79.1469,63.14,63,95,10.54,overcast clouds
303,Marostica,IT,45.7468,11.6579,69.08,67,9,5.14,clear sky
304,Makakilo City,US,21.3469,-158.0858,82.72,64,1,9.22,clear sky
305,Kodiak,US,57.79,-152.4072,44.53,62,70,7.9,broken clouds
306,Barra Do Garcas,BR,-15.89,-52.2567,104.58,22,40,2.3,scattered clouds
307,Beringovskiy,RU,63.05,179.3167,22.64,93,100,37.18,snow
308,Aklavik,CA,68.2191,-135.0107,30.92,74,89,4.59,overcast clouds
309,Mokobeng,BW,-22.9965,27.6678,79.66,36,0,18.05,clear sky
310,Tari,NG,12.4086,4.4914,80.01,73,98,7.07,overcast clouds
311,Omboue,GA,-1.5746,9.2618,77.09,85,100,8.19,overcast clouds
312,Shimoda,JP,34.6667,138.95,69.1,78,100,7.02,overcast clouds
313,Changji,CN,44.0167,87.3167,59.79,38,0,6.71,clear sky
314,Lubango,AO,-14.9172,13.4925,64.87,55,29,3.83,scattered clouds
315,Progreso,MX,21.2833,-89.6667,92.1,58,11,15.77,few clouds
316,Dembi Dolo,ET,8.5333,34.8,55.74,91,40,4.59,scattered clouds
317,Marshall,US,34.3834,-86.3333,87.82,60,1,1.01,clear sky
318,Viedma,AR,-40.8135,-62.9967,71.1,43,99,19.53,overcast clouds
319,Valparaiso,CL,-33.0393,-71.6273,62.83,65,75,3.44,broken clouds
320,Luau,AO,-10.7073,22.2247,72.54,66,90,2.95,overcast clouds
321,Bukan,IR,36.521,46.2089,64.74,29,0,4.29,clear sky
